from_node,to_node,length,zone,fire_prob
236.0,238.0,193.51,3,1.0
238.0,239.0,139.56,3,1.0
238.0,240.0,124.8,3,1.0
238.0,241.0,140.49,3,1.0
239.0,315.0,195.94,3,1.0
239.0,378.0,136.61,3,1.0
315.0,316.0,82.21,3,1.0
315.0,4120.0,71.36,3,1.0
315.0,4700.0,188.81,3,1.0
318.0,319.0,165.64,3,1.0
319.0,4100.0,13.36,3,1.0
319.0,4101.0,13.2,3,1.0
378.0,4541.0,65.94,3,1.0
378.0,380.0,119.9,3,1.0
378.0,4101.0,195.07,3,1.0
380.0,381.0,157.74,3,1.0
381.0,2130.0,65.57,3,1.0
381.0,3614.0,362.27,3,1.0
381.0,4322.0,68.74,3,1.0
381.0,947.0,276.1,3,1.0
381.0,1560.0,64.88,3,1.0
2013.0,2014.0,67.89,3,1.0
2014.0,4541.0,58.62,3,1.0
4100.0,4120.0,65.21,3,1.0
4100.0,4223.0,185.47,3,1.0
4100.0,4101.0,4.01,3,1.0
4101.0,4120.0,64.99,3,1.0
